document_id	topic_id	weight
14	71	2.7e-05
14	72	3.7e-05
14	73	1.4e-05
14	74	2e-05
14	75	3.5e-05
14	76	1.4e-05
14	77	1.4e-05
14	78	4e-06
14	79	0.005193
14	80	1.9e-05
14	81	7e-06
14	82	0.033673
14	83	1.3e-05
14	84	4e-06
14	85	7e-06
14	86	2.9e-05
14	87	2.1e-05
14	88	0.012947
14	89	1.4e-05
14	90	1.3e-05
14	91	4e-05
14	92	2.3e-05
14	93	2.7e-05
14	94	4e-05
14	95	1.6e-05
14	96	3.1e-05
14	97	2.8e-05
14	98	1.6e-05
14	99	2e-05
14	100	3.1e-05
15	1	1.4e-05
15	2	1.8e-05
15	3	2.6e-05
15	4	2.8e-05
15	5	6e-06
15	6	2e-06
